"country","taxid","country_date","count"
"AT","485","2018-06-04",1
"AT","485","2018-06-07",2
"AT","485","2018-06-14",2
"AT","485","2018-06-15",1
"AT","485","2018-06-18",2
"AT","485","2018-06-20",1
"AT","485","2018-06-22",2
"AT","485","2018-07-02",1
"AT","485","2018-07-05",1
"AT","485","2018-07-09",1
"AT","485","2018-07-10",1
"AT","485","2018-07-11",7
"AT","485","2018-07-12",4
"AT","485","2018-07-13",1
"AT","485","2018-07-18",2
"AT","485","2018-07-19",2
"AT","485","2018-07-25",1
"AT","485","2018-07-26",3
"AT","485","2018-07-27",1
"AT","485","2018-07-30",1
"AT","485","2018-08-10",1
"AT","485","2018-08-13",2
"AT","485","2018-08-14",1
"AT","485","2018-08-17",1
"AT","485","2018-08-20",3
"AT","485","2018-08-24",2
"AT","485","2018-08-25",2
"AT","485","2018-08-27",1
"AT","485","2018-08-29",3
"AT","485","2018-09-03",1
"AT","485","2018-09-04",1
"AT","485","2018-09-05",2
"AT","485","2018-09-06",5
"AT","485","2018-09-11",1
"AT","485","2018-09-12",1
"AT","485","2018-09-17",1
"AT","485","2018-09-19",2
"AT","485","2018-09-20",1
"AT","485","2018-09-24",1
"AT","485","2018-09-25",2
"AT","485","2018-09-26",1
"AT","485","2018-10-03",1
"AT","485","2018-10-04",3
"AT","485","2018-10-05",2
"AT","485","2018-10-11",1
"AT","485","2018-10-16",2
"AT","485","2018-10-17",5
"AT","485","2018-10-23",1
"AT","485","2018-10-27",2
"AT","485","2018-10-29",1
"AT","485","2018-10-30",2
"AT","485","2018-10-31",2
"AT","485","2018-11-16",4
"AT","485","2018-11-17",2
"AT","485","2018-11-20",3
"AT","485","2018-11-21",2
"AT","485","2018-11-27",2
"AT","485","2018-11-28",1
"AT","485","2018-11-29",1
"AT","485","2018-12-05",1
"AT","485","2018-12-06",1
"AT","485","2018-12-10",2
"AT","485","2018-12-12",2
"AT","485","2018-12-14",2
"AT","485","2018-12-17",1
"AT","485","2018-12-19",1
"AT","485","2018-12-20",2
"AT","485","2018-12-21",1
"AT","485","2018-12-28",1
"AT","485","2019",166
"AT","485","2019-01-09",1
"AT","485","2019-01-11",2
"AT","485","2019-01-14",2
"AT","485","2019-01-15",1
"AT","485","2019-01-16",2
"AT","485","2019-01-18",2
"AT","485","2019-01-21",2
"AT","485","2019-01-23",2
"AT","485","2019-01-25",1
"AT","485","2019-01-26",1
"AT","485","2019-01-29",1
"AT","485","2019-01-30",5
"AT","485","2019-01-31",1
"AT","485","2019-02-01",2
"AT","485","2019-02-05",1
"AT","485","2019-02-06",1
"AT","485","2019-02-07",1
"AT","485","2019-02-08",1
"AT","485","2019-02-11",1
"AT","485","2019-02-13",3
"AT","485","2019-02-14",1
"AT","485","2019-02-19",1
"AT","485","2019-02-20",2
"AT","485","2019-02-21",1
"AT","485","2019-02-22",1
"AT","485","2019-02-25",1
"AT","485","2019-02-26",2
"AT","485","2019-02-27",1
"AT","485","2019-03-01",1
"AT","485","2019-03-05",3
"AT","485","2019-03-06",4
"AT","485","2019-03-08",1
"AT","485","2019-03-19",2
"AT","485","2019-03-21",1
"AT","485","2019-03-25",2
"AT","485","2019-03-27",1
"AT","485","2019-03-29",2
"AT","485","2019-04-03",2
"AT","485","2019-04-04",1
"AT","485","2019-04-05",2
"AT","485","2019-04-10",1
"AT","485","2019-04-11",2
"AT","485","2019-04-16",3
"AT","485","2019-04-17",6
"AT","485","2019-04-18",3
"AT","485","2019-04-20",1
"AT","485","2019-04-25",1
"AT","485","2019-04-29",1
"AT","485","2019-04-30",1
"AT","485","2019-05-02",2
"AT","485","2019-05-03",4
"AT","485","2019-05-04",2
"AT","485","2019-05-08",2
"AT","485","2019-05-09",5
"AT","485","2019-05-10",2
"AT","485","2019-05-11",1
"AT","485","2019-05-14",1
"AT","485","2019-05-15",3
"AT","485","2019-05-16",1
"AT","485","2019-05-21",2
"AT","485","2019-05-22",3
"AT","485","2019-05-24",3
"AT","485","2019-05-25",2
"AT","485","2019-05-28",2
"AT","485","2019-05-29",2
"AT","485","2019-06-03",3
"AT","485","2019-06-04",1
